Station,Hour,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),17,0.9995123117957827,0.855417196177712,0.030919830227305344,0.9999999999999998,,-0.12945567421813448,-0.07304125255993953,-0.15893080218523087,0.09083431863563576,0.4883705673259056
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),18,0.9962781576971891,0.8399848941872762,0.6744582277528126,1.0,,0.15188584876768135,-0.1666114100604354,0.02340733060071999,0.11925053318818916,0.5245888707639317
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),19,0.9941896495408297,0.7799732439478779,0.5238520524656433,-1.0000000000000007,,0.2960100106840857,0.018664072255167752,0.10411156229798167,-0.08261172638719205,0.4242944089653674
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),20,0.9939699359950765,0.7369220329214309,0.4327766190646837,-1.0000000000000007,,0.28243933178230923,-0.07920515303338956,0.31888900181462604,-0.0008061895570025628,0.4213848267782891
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),21,0.9921898968023399,0.7911655107251251,0.38625317739836124,0.9999999999999999,,0.26792601016130213,-0.17544315043457145,0.3697415022449739,0.13452964163267214,0.4549647038014821
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),22,0.9981076730892683,0.872886340563821,0.13668131192384195,0.9999999999999998,,0.0777895089467994,-0.25534402228800085,0.3096244472520149,0.18029000277407814,0.5004694691637608
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),23,0.9783392793143197,0.8698954265029193,0.27591838252034523,-1.0,,0.09062718554028824,-0.23277523921381846,0.13375160866839933,0.14083583152999443,0.32968354123657834
Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),0,0.9967647606049617,0.9867937419540282,0.41301758042182063,0.3085355957078618,0.010724502251690842,0.46803588565691706,-0.12497434897503769,-0.05344717346923063,0.05095803363947381,0.43043905724223913
Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),1,0.9975117249675035,0.9916120665328697,0.30095736205780166,0.2991380267215631,0.030440519044758443,0.39599986651546715,-0.29557287959455614,-0.020237880194955753,0.16365607385366607,0.37808499925150807
Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),2,0.9994197743406987,0.9783352785108353,0.16472499858610465,0.1714825118325191,-0.06406240418371174,0.28217949677127924,-0.48452740001753514,0.10189516358292437,0.31498587331067907,0.2631157265379471
